experiment,configuration,fold,predictor_count,n_train,n_validation,n_train_dropped,n_validation_dropped,rmse,mae,r2,source_artifact
temporal_alignment,0_hour,1,57,1743,482,0,0,0.897683723736284,0.657331630820769,-0.0410108411432173,data/processed/temporal_alignment_results.parquet
temporal_alignment,0_hour,2,57,2224,483,0,0,0.936664709619316,0.761487836937271,-0.0940162823333106,data/processed/temporal_alignment_results.parquet
temporal_alignment,0_hour,3,57,2708,481,0,0,0.973064108620398,0.716826010231461,0.0352445448443131,data/processed/temporal_alignment_results.parquet
temporal_alignment,1_hour,1,57,1688,477,55,5,0.886080012308798,0.646179013099328,-0.0763346941582934,data/processed/temporal_alignment_results.parquet
temporal_alignment,1_hour,2,57,2165,475,59,8,0.90977514669939,0.740208411392213,-0.0772985283256444,data/processed/temporal_alignment_results.parquet
temporal_alignment,1_hour,3,57,2642,468,66,13,0.953037377161229,0.698279868467931,0.00328108809309924,data/processed/temporal_alignment_results.parquet
temporal_alignment,2_hour,1,57,1667,475,76,7,0.896059475957534,0.660798292124161,-0.101847194694833,data/processed/temporal_alignment_results.parquet
temporal_alignment,2_hour,2,57,2143,472,81,11,0.919760020741786,0.763154329900514,-0.0912422135079705,data/processed/temporal_alignment_results.parquet
temporal_alignment,2_hour,3,57,2618,459,90,22,0.91920385708138,0.678640358313306,-0.00406662268935376,data/processed/temporal_alignment_results.parquet
sensor_representation,static,1,57,1741,482,,,0.90242645208172,0.664452093568584,-0.0520398348077431,data/processed/dynamic_representation_results.parquet
sensor_representation,static,2,57,2222,481,,,0.933693861376402,0.757440396251558,-0.0827266991714415,data/processed/dynamic_representation_results.parquet
sensor_representation,static,3,57,2704,481,,,0.973710059825464,0.72016992930831,0.0339632483944277,data/processed/dynamic_representation_results.parquet
sensor_representation,dynamic,1,153,1741,482,,,0.892867466262325,0.65747658582138,-0.0298703333174262,data/processed/dynamic_representation_results.parquet
sensor_representation,dynamic,2,153,2222,481,,,0.93529178030387,0.760798983554646,-0.0864358162767356,data/processed/dynamic_representation_results.parquet
sensor_representation,dynamic,3,153,2704,481,,,0.953032367062209,0.68700693464076,0.0745570826205656,data/processed/dynamic_representation_results.parquet
feed_chemistry,sensor_only,1,57,1743,482,,,0.897683723736284,0.657331630820769,-0.0410108411432173,data/processed/feed_chemistry_results.parquet
feed_chemistry,sensor_only,2,57,2224,483,,,0.936664709619316,0.761487836937271,-0.0940162823333106,data/processed/feed_chemistry_results.parquet
feed_chemistry,sensor_only,3,57,2708,481,,,0.973064108620398,0.716826010231461,0.0352445448443131,data/processed/feed_chemistry_results.parquet
feed_chemistry,feed_enhanced,1,59,1743,482,,,0.9080717444793,0.719850437926469,-0.0652434569763143,data/processed/feed_chemistry_results.parquet
feed_chemistry,feed_enhanced,2,59,2224,483,,,0.990596421864693,0.847708450900385,-0.223626798905728,data/processed/feed_chemistry_results.parquet
feed_chemistry,feed_enhanced,3,59,2708,481,,,0.978836272525009,0.727755169627154,0.0237648422044101,data/processed/feed_chemistry_results.parquet
